overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
2,Positive,Negative,0.4404,-0.8316,Negative
5,Positive,Neutral,0.5994,0.0,Positive
3,Neutral,Neutral,0.0,0.0,Positive
4,Positive,Positive,0.25,0.477,Positive
4,Positive,Negative,0.765,-0.4588,Positive
2,Positive,Negative,0.6705,-0.296,Positive
5,Positive,Negative,0.8553,-0.128,Positive
3,Positive,Neutral,0.7184,0.0,Positive
4,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Negative,0.7579,-0.2023,Positive
2,Positive,Negative,0.701,-0.4767,Positive
2,Positive,Negative,0.6908,-0.1119,Positive
3,Positive,Negative,0.8316,-0.6324,Positive
4,Positive,Neutral,0.3818,0.0,Positive
5,Positive,Positive,0.9577,0.8807,Positive
4,Positive,Positive,0.3818,0.7003,Positive
3,Positive,Negative,0.8519,-0.3865,Positive
5,Positive,Negative,0.6249,-0.296,Positive
3,Positive,Positive,0.93,0.0772,Positive
5,Positive,Negative,0.9524,-0.296,Positive
3,Positive,Negative,0.8316,-0.3612,Positive
3,Positive,Negative,0.2809,-0.3466,Negative
5,Positive,Negative,0.5106,-0.3274,Positive
1,Negative,Negative,-0.4186,-0.3595,Negative
2,Positive,Negative,0.91,-0.8176,Positive
5,Positive,Negative,0.6597,-0.1695,Positive
5,Positive,Neutral,0.5859,0.0,Positive
4,Positive,Neutral,0.6908,0.0,Positive
4,Positive,Neutral,0.4019,0.0,Positive
5,Positive,Negative,0.7269,-0.3595,Positive
5,Positive,Negative,0.6249,-0.1027,Positive
4,Positive,Negative,0.6369,-0.296,Positive
4,Positive,Negative,0.6901,-0.3612,Positive
3,Positive,Negative,0.8316,-0.7096,Positive
5,Positive,Neutral,0.7184,0.0276,Positive
1,Negative,Positive,-0.4767,0.0701,Negative
5,Positive,Negative,0.8885,-0.3875,Positive
5,Positive,Neutral,0.9076,0.0,Positive
3,Positive,Negative,0.69,-0.7425,Negative
4,Positive,Negative,0.926,-0.3612,Positive
5,Positive,Negative,0.8977,-0.4449,Positive
4,Positive,Negative,0.9022,-0.0516,Positive
5,Positive,Positive,0.4404,0.3818,Positive
5,Positive,Negative,0.4927,-0.3612,Positive
3,Positive,Positive,0.8742,0.3892,Positive
1,Neutral,Negative,0.0,-0.0803,Negative
5,Positive,Positive,0.7346,0.4404,Positive
5,Positive,Positive,0.7845,0.34,Positive
3,Positive,Negative,0.7003,-0.3818,Positive
5,Positive,Neutral,0.8225,0.0,Positive
5,Positive,Neutral,0.4404,0.0,Positive
4,Positive,Positive,0.3691,0.9485,Positive
4,Positive,Positive,0.9136,0.2304,Positive
5,Positive,Positive,0.9217,0.3089,Positive
4,Positive,Negative,0.5842,-0.3612,Positive
1,Positive,Neutral,0.4404,0.0,Positive
1,Positive,Negative,0.2263,-0.6908,Negative
3,Positive,Negative,0.936,-0.8899,Negative
2,Positive,Negative,0.7003,-0.3865,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
5,Positive,Positive,0.6705,0.2263,Positive
4,Positive,Neutral,0.4939,0.0,Positive
4,Positive,Negative,0.6705,-0.3612,Positive
4,Positive,Negative,0.8553,-0.9556,Negative
3,Positive,Negative,0.8834,-0.3632,Positive
1,Neutral,Negative,0.0,-0.9431,Negative
4,Positive,Positive,0.296,0.3626,Positive
4,Positive,Negative,0.2263,-0.5216,Positive
5,Positive,Neutral,0.5859,0.0,Positive
3,Positive,Positive,0.4404,0.7184,Positive
4,Positive,Positive,0.4588,0.3832,Positive
5,Positive,Neutral,0.8591,0.0,Positive
3,Positive,Neutral,0.6908,0.0,Positive
3,Positive,Positive,0.296,0.3197,Positive
1,Neutral,Positive,0.0,0.4404,Positive
4,Positive,Negative,0.9217,-0.8717,Positive
4,Positive,Positive,0.296,0.5829,Positive
4,Positive,Neutral,0.9042,0.0,Positive
3,Positive,Negative,0.9117,-0.6239,Positive
3,Positive,Neutral,0.7717,0.0,Positive
2,Neutral,Negative,0.0,-0.6814,Negative
4,Positive,Negative,0.4588,-0.3612,Positive
4,Positive,Negative,0.8225,-0.1027,Positive
3,Positive,Negative,0.899,-0.4215,Positive
5,Positive,Neutral,0.6705,0.0,Positive
5,Positive,Negative,0.2944,-0.3412,Negative
3,Neutral,Positive,0.0,0.6369,Positive
3,Positive,Neutral,0.6486,0.0,Positive
1,Positive,Negative,0.7579,-0.9302,Negative
3,Positive,Positive,0.8779,0.4019,Positive
3,Positive,Positive,0.8957,0.6786,Positive
4,Positive,Negative,0.3818,-0.1027,Positive
4,Positive,Neutral,0.7964,0.0,Positive
5,Positive,Positive,0.8834,0.741,Positive
2,Positive,Negative,0.6705,-0.5574,Positive
3,Positive,Negative,0.6808,-0.7425,Positive
5,Positive,Negative,0.8849,-0.2732,Positive
4,Positive,Negative,0.8766,-0.1761,Positive
4,Positive,Positive,0.9312,0.1531,Positive
3,Positive,Neutral,0.6486,0.0,Positive
4,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Positive,0.7351,0.6486,Positive
5,Positive,Positive,0.9535,0.3182,Positive
4,Positive,Negative,0.9246,-0.2105,Positive
5,Positive,Negative,0.8658,-0.2607,Positive
5,Positive,Neutral,0.9231,0.0,Positive
3,Positive,Negative,0.9535,-0.4215,Positive
2,Positive,Negative,0.8832,-0.5106,Positive
2,Positive,Neutral,0.296,-0.024,Negative
5,Positive,Negative,0.9062,-0.3818,Positive
5,Positive,Neutral,0.8,0.0,Positive
4,Positive,Negative,0.9673,-0.2077,Positive
3,Positive,Negative,0.886,-0.9057,Negative
2,Positive,Positive,0.765,0.7216,Positive
3,Neutral,Negative,0.0,-0.2263,Negative
4,Positive,Positive,0.4404,0.6124,Positive
1,Neutral,Positive,0.0,0.5033,Positive
4,Positive,Positive,0.6808,0.4404,Positive
3,Positive,Negative,0.7003,-0.802,Negative
5,Positive,Neutral,0.872,0.0,Positive
4,Positive,Negative,0.4404,-0.3412,Positive
4,Neutral,Neutral,0.0,0.0,Positive
4,Positive,Neutral,0.9153,-0.0217,Positive
4,Positive,Negative,0.4404,-0.6369,Positive
4,Positive,Positive,0.4404,0.3612,Positive
5,Positive,Positive,0.5719,0.6249,Positive
4,Positive,Positive,0.8126,0.4939,Positive
5,Positive,Negative,0.4404,-0.296,Positive
1,Positive,Negative,0.4019,-0.0516,Negative
3,Positive,Positive,0.9493,0.5499,Positive
5,Positive,Positive,0.7717,0.6597,Positive
3,Positive,Negative,0.6486,-0.2732,Positive
5,Positive,Neutral,0.6124,0.0,Positive
1,Positive,Positive,0.7579,0.9066,Positive
3,Positive,Negative,0.7845,-0.6698,Positive
5,Positive,Negative,0.9657,-0.3412,Positive
2,Positive,Positive,0.6808,0.0845,Neutral
1,Positive,Negative,0.6908,-0.4588,Positive
